Feature	ERR479243	ERR479263	ERR479142	ERR478958	ERR479037	ERR479022	ERR479417	ERR479393	ERR479111	ERR478986	ERR479177	ERR479169	ERR479010	ERR479132	ERR479175	ERR479167	ERR479423	ERR478970	ERR479440	ERR479294	ERR478984	ERR479339	ERR479353	ERR479079	ERR479357	ERR479374	ERR479355	ERR479397	ERR479415	ERR479319	ERR479077	ERR479063	ERR479223	ERR479033	ERR479335	ERR479401	ERR479029	ERR478962	ERR479138	ERR478990	ERR479235	ERR479391	ERR479083	ERR479128	ERR479276	ERR479370	ERR479255	ERR479000	ERR479071	ERR479378	ERR479290	ERR479059	ERR479173	ERR479183	ERR479219	ERR479049	ERR479039	ERR479413	ERR479524	ERR478974	ERR479488	ERR478976	ERR479460	ERR479107	ERR479436	ERR479093	ERR479512	ERR479101	ERR479538	ERR479286	ERR479554	ERR479341
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__RUG841|s__RUG841_sp900772035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UBA1221|s__UBA1221_sp900770525	0	75	52	17	41	0	0	0	22	0	19	0	156	0	0	0	0	13	0	27	0	67	0	32	0	0	0	72	0	22	66	34	0	0	74	0	16	0	0	66	0	0	0	185	53	0	0	20	0	14	57	0	76	12	112	0	0	0	90	72	0	0	0	17	0	0	0	0	0	31	80	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UBA2883|s__UBA2883_sp002103075	0	0	0	67	0	0	72	0	0	0	0	0	14	0	0	0	0	0	0	14	0	72	0	0	0	57	0	0	0	0	0	0	115	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	24	54	0	0	0	0	0	0	0	0	0	80	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UBA2883|s__UBA2883_sp900768915	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	11	0	0	0	10	0	11	0	0	0	0	145	0	0	61	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UBA6984|s__MGYG000003666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	26	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UBA6984|s__UBA6984_sp003258725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	32	0	0	0	0	0	25	0	0	0	30	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UBA6984|s__UBA6984_sp900550295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UMGS1477|s__UMGS1477_sp900552205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UMGS1477|s__UMGS1477_sp900553845	0	0	18	14	15	107	83	90	0	0	31	55	0	0	26	60	0	0	0	64	0	73	0	0	0	0	116	76	12	168	275	20	18	13	114	41	11	30	47	66	49	0	0	32	16	0	0	53	0	0	0	39	18	12	0	229	0	83	0	20	23	13	35	14	0	0	147	31	0	10	217	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UMGS1477|s__UMGS1477_sp900761525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UMGS1585|s__UMGS1585_sp900553205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UMGS951|s__UMGS951_sp900547155	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	118	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	66
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__UMGS951|s__UMGS951_sp900547585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	14	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000000385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000002077	17	0	12	0	10	0	0	11	101	18	53	201	0	0	0	61	0	184	17	46	198	19	0	142	0	63	64	10	0	0	44	126	0	242	490	236	84	0	25	0	567	0	0	0	0	152	0	0	0	23	0	19	18	0	0	45	0	31	0	80	49	0	0	11	0	96	24	0	105	165	0	136
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000003829	0	102	49	0	105	291	142	35	40	17	205	50	0	0	0	608	0	431	0	0	30	358	0	0	0	0	22	228	158	15	529	184	122	88	347	0	61	76	167	17	0	0	2299	0	0	207	0	453	0	25	0	188	0	16	157	198	0	75	59	281	14	47	34	48	917	0	259	0	0	0	11	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000003995	0	41	13	24	16	21	276	18	0	0	170	14	11	0	0	0	14	0	0	0	0	15	0	13	0	22	10	179	127	25	0	208	11	21	316	0	26	34	118	97	145	0	0	0	0	0	0	0	10	0	0	118	0	24	165	1311	0	145	28	54	37	31	0	0	0	0	16	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000004473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	12	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000004841	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	26	0	0	23	0	36	0	0	12	0	0	0	0	14	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp002102825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp002103105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp003258735	0	0	54	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	20	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	21	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	49	0	19	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp004558955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp900551965	0	0	0	0	0	0	10	10	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	501	446	0	29	0	0	0	2083	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	406	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp900555325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000000422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000000572	0	23	49	0	18	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	45	101	0	0	0	22	31	0	0	0	0	0	28	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000001678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000001899	62	57	34	11	0	0	962	0	49	0	0	86	11	0	83	96	0	0	108	41	0	11	0	70	0	0	1222	0	0	39	454	215	0	0	87	738	34	66	63	431	22	0	0	39	0	17	0	12	0	61	0	11	13	24	129	246	0	32	0	123	12	0	0	0	0	0	105	0	14	81	393	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp000433095	0	10	0	28	0	0	0	11	228	0	0	12	66	0	0	17	0	0	0	0	191	44	164	0	0	1045	0	39	0	17	50	13	42	0	0	0	0	39	21863	20	154	165	0	0	43	0	0	11	0	0	0	13	0	219	118	114	0	0	0	27	0	0	0	0	0	0	32	0	35	0	19	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp000437435	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	1332	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	64	11649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp000438175	123	0	208	16	16	0	16	0	26	0	0	15	10	0	0	11	4306	13	0	0	0	0	0	0	0	30	0	0	22	0	137	0	0	0	0	0	82	0	86	94	21	0	0	14	24	233	0	0	0	0	0	0	0	14	14	42	0	0	42	0	40	0	0	0	0	0	14	12	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp001765415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp001917115	26	0	21	13449	0	0	0	0	0	0	5479	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	14	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	33	0	18	0	0	48	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900551675	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900555175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900556295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900752845	0	0	0	0	0	0	0	0	20	0	0	34	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	31	37	83	0	0	0	0	0	0	0	4224	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	138	2624	0	19	0	26	21	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900767135	0	0	0	0	0	0	24	0	0	33	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	33	0	113	0	0	0	0	0	0	66	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	25	0	145	11	12	0	15	0	0	0	0	0	0	0	70	13	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900769355	0	55	207	337	45	37	404	131	26	689	116	166	286	0	12	3706	27	115	48	93	138	89	212	44	0	0	114	407	338	113	1011	262	29	203	76	32	57	328	65	240	182	295	0	0	0	216	126	38	19	119	101	221	111	433	0	569	0	1252	104	158	106	569	412	141	53	631	13	139	44	5067	328	37
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900769645	0	130	48	12	73	75	822	19	349	0	20	89	47	12	0	194	0	68	31	119	86	138	0	0	0	243	355	16	41	371	300	88	469	69	49	0	0	138	165	58	18	233	0	10	0	0	0	0	139	61	0	0	13	144	0	44	0	589	25	14	251	842	0	45	0	0	46	0	48	68	0	18
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__RUG14156|g__MGYG000001875|s__MGYG000001875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_sp900550745	43	218	468	38	742	6173	16	20	16	0	20	2460	550	10	0	29	0	31	23	0	21	22	31	0	760	11	74	26	78	16	66	25	118	36	16	39	51	51	18	70	295	0	10	18	43	78	239	15	0	0	33	44	0	0	87	51	22	0	129	53	39	0	37	26	21	14	7076	23	0	0	376	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_sp900553145	293	25	134	44	437	30	38	14	501	0	67	42	1332	17	0	113	0	65	55	24	35	45	209	60	913	51	194	74	322	44	87	80	84	181	25	232	186	206	59	402	183	22	0	35	157	74	201	39	0	0	104	198	0	37	160	64	0	20	246	223	142	64	152	0	59	26	68	70	0	17	292	11
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_sp902373525	2629	0	6033	1729	10253	1569	368	0	1031	0	0	715	18230	0	0	990	0	2308	791	0	804	0	1419	0	22400	563	1984	1506	3929	282	4901	1292	1783	1583	0	2666	1305	2107	867	2843	4322	275	0	1253	2030	7875	3776	594	0	0	1713	1646	0	0	2926	4569	0	0	4023	3209	1551	565	3379	0	0	699	2009	0	0	0	5509	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	12263	1835	12530	10532	21518	492	1881	402	5946	0	4319	772	87527	1029	53	4439	0	12265	4288	1261	4205	3265	7026	2435	97212	2925	9588	8007	19135	1627	30464	6653	4737	7992	4691	13203	7001	10241	3516	14854	9468	1627	42	6810	9665	131	6666	2740	26	404	8820	9416	0	2364	16988	23951	18	1752	19945	16535	7491	2847	17677	0	2858	3020	1127	3531	303	764	10448	852
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__MGYG000001832	11	0	21	23	14	24	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	16	41	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	14	12	11	0	0	0	10	0	0	12	0	0	0	0	11	0	0	20	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__MGYG000002706	15	0	17	41	19	38	74	0	116	0	12	25	221	0	0	81	0	0	13	16	49	15	0	0	194	76	105	70	62	249	0	0	53	15	0	0	43	19	183	0	165	0	440	0	0	0	13	0	0	0	0	17	84	0	18	12	0	84	330	18	0	15	0	0	0	24	62	10	0	0	31	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans	0	0	0	0	0	0	8724	0	0	0	0	0	0	8132	0	0	0	0	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_fairfieldensis	0	0	0	0	0	0	0	0	14	0	0	0	75449	0	0	22	0	0	0	0	0	171	595	0	15	0	0	880	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_legallii	0	0	0	0	0	0	15	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	935	0	0	0	0	37	0	24	881	0	0	1021	27	0	0	0	0	930	0	0	113	0	0	0	112632	0	955	0	2385	8804	12198	0	2114	0	0	0	0	17	843	0	917	0	0	0	0	0	2393	384	0	15	0	25	0	444	15	1535	0	1032	0	201	1102	499	0	269	0	11	0	260	110	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger_A	163	0	0	0	37	1053	0	0	135	0	0	173	0	0	0	0	0	217	0	0	2281	0	0	0	980	0	41462	0	448	244	78	0	375	0	0	0	0	0	20886	0	0	0	0	0	0	0	386	238	0	0	0	0	0	62	166	246	0	153	0	0	150	69	0	6242	0	0	0	21	13	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp002159665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900319575	19	6993	0	280	0	0	28	1891	0	6125	0	0	0	0	0	0	0	0	1310	5055	6494	14	0	0	14	0	0	0	0	1442	67	6385	0	26	2199	5136	4512	115	28	19677	8833	0	0	0	0	0	22	296	0	5046	0	0	0	0	16	0	0	0	0	0	31	0	0	12	457	3846	0	0	3447	8530	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900540515	0	31	0	33	34	0	0	0	0	0	0	14	240	0	0	14	0	0	0	0	0	12	0	0	5840	0	1518	0	10	0	13	11	0	0	0	0	0	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	15	0	0	0	0	0	0	0	7085	0	0	13	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900546145	0	945	13	13887	0	0	0	358	0	964	0	0	0	0	0	0	0	0	179	690	1207	10	0	0	0	0	0	0	0	281	0	842	0	0	243	1040	545	5678	11	1850	1035	0	0	0	0	0	0	14611	0	592	0	17	0	12	15	0	0	0	0	19	0	0	33	0	22684	487	0	0	493	1039	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900547595	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000002687	445	0	0	0	0	17	0	0	256	0	19	461	0	0	0	0	0	282	0	0	11	0	0	0	1870	0	715	0	924	368	325	0	704	0	0	0	0	0	561	0	16	0	0	0	0	0	807	156	0	0	0	32	0	227	0	703	0	350	0	22	334	106	0	248	0	14	0	39	29	0	0	0
