Feature	ERR479243	ERR479263	ERR479142	ERR478958	ERR479037	ERR479022	ERR479417	ERR479393	ERR479111	ERR478986	ERR479177	ERR479169	ERR479010	ERR479132	ERR479175	ERR479167	ERR479423	ERR478970	ERR479440	ERR479294	ERR478984	ERR479339	ERR479353	ERR479079	ERR479357	ERR479374	ERR479355	ERR479397	ERR479415	ERR479319	ERR479077	ERR479063	ERR479223	ERR479033	ERR479335	ERR479401	ERR479029	ERR478962	ERR479138	ERR478990	ERR479235	ERR479391	ERR479083	ERR479128	ERR479276	ERR479370	ERR479255	ERR479000	ERR479071	ERR479378	ERR479290	ERR479059	ERR479173	ERR479183	ERR479219	ERR479049	ERR479039	ERR479413	ERR479524	ERR478974	ERR479488	ERR478976	ERR479460	ERR479107	ERR479436	ERR479093	ERR479512	ERR479101	ERR479538	ERR479286	ERR479554	ERR479341
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000000897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000001856	0	0	14	0	0	0	0	21	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	11	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__MGYG000004312	0	0	132	19	0	16	0	0	0	66	119	28	0	0	0	0	0	0	19	51	0	59	0	0	0	0	136	21	285	0	0	197	0	0	164	0	361	0	465	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	215	0	0	18	19	0	0	0	98	0	25	0	48
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus_A|s__Methanomassiliicoccus_A_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__ISO4-G1|s__MGYG000003531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__MX-02|s__MX-02_sp006954405	0	0	0	0	0	0	0	17020	0	0	0	0	0	0	0	18	0	0	0	0	0	5509	0	0	0	0	37932	0	0	0	16	0	0	0	0	0	0	0	20394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__Methanomethylophilus|s__Methanomethylophilus_alvus	0	0	0	0	0	0	0	4323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559	0	57	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000003962	0	0	0	3262	0	0	34443	0	0	0	0	0	0	33185	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	15055	0	0	0	0	10148	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004372	0	0	0	0	0	0	14	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004574	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	19247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
