OTU ID	ERR1293545	ERR1293754	ERR1293914	ERR1293601	ERR1293565	ERR1293662	ERR1293581	ERR1293618	ERR1293750	ERR1293794	ERR1293674	ERR1293910	ERR1293678	ERR1293850	ERR1293906	ERR1293706	ERR1293726	ERR1293930	ERR1293622	ERR1293702	ERR1293826	ERR1293854	ERR1293746	ERR1293922	ERR1293634	ERR1293505	ERR1293573	ERR1293670	ERR1293537	ERR1293686	ERR1293834	ERR1293714	ERR1293690	ERR1293818	ERR1293605	ERR1293802	ERR1293569	ERR1293862	ERR1293766	ERR1293694	ERR1293658	ERR1293585	ERR1293786	ERR1293682	ERR1293830	ERR1293497	ERR1293902	ERR1293513	ERR1293734	ERR1293533	ERR1293521	ERR1293609	ERR1293842	ERR1293890	ERR1293501	ERR1293525
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__MGYG000004574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954425	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	5310	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	6661	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp006954465	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22071	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomethylophilaceae|g__UBA71|s__UBA71_sp900767505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	186	71	291	80	333	32	0	107	23	0	0	92	0	191	339	0	80	0	0	0	118	553	70	91	0	175	57	134	184	117	0	30	146	38	68	95	0	43	49	132	0	114	0	0	48	61	98	45	0	0	0	0	0	0	0	22
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	18	11	859	28	160	13	129	43	32	16	0	35	24	23	71	57	36	45	0	0	45	50	46	36	12	413	0	60	206	163	0	0	55	16	14	30	34	20	10	0	331	12	0	25	0	16	0	23	22	68	29	0	71	389	39	14
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp000220835	21	0	0	0	23	0	46	0	12	11	0	0	0	0	0	28	0	0	0	0	13	0	0	24	0	84	0	83	61	27	0	0	0	0	0	0	20	0	0	0	204	0	13	0	11	35	0	21	0	25	0	36	26	0	16	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp900323545	0	18	11	13	14	0	0	0	0	0	0	0	0	17	10	0	11	10	0	0	0	36	0	0	0	64	0	14	27	0	0	0	0	0	0	16	17	0	0	0	0	0	0	85	0	0	0	0	0	14	12	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	36	0	0	0	36	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	15	24	14	57	40	0	12	0	0	11	0	32	0	43	26	0	18	25	0	113	63	37	20	0	21	29	0	35	10	17	0	14	40	0	10	18	0	0	13	120	13	0	0	35	0	0	0	15	0	276	312	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	944	14	23	0	42	0	12	0	0	0	0	180	0	0	275	0	0	0	0	0	96	12	22	0	0	0	27	12	0	0	0	0	49	70	48	237	0	0	20	66	0	18	0	29	0	101	0	26	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_culturomici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	249	17	13	49	227	0	45	0	0	11	14	122	0	38	115	0	225	0	13	24	129	993	0	131	39	0	29	51	174	62	0	88	16	37	45	29	0	0	0	99	0	15	0	0	101	16	0	48	14	15	16	0	50	0	32	15
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	0	0	1358	865	1317	0	556	114	0	0	0	0	0	0	777	371	245	301	0	433	1305	0	0	551	613	301	214	0	1189	665	0	217	443	110	0	0	273	0	771	1284	241	195	0	0	0	391	215	310	173	338	513	0	0	677	125	120
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	17	0	368	23	45	0	63	0	197	0	0	11	0	0	0	211	12	11	0	0	46	69	0	0	14	10	0	0	536	14	0	0	17	0	0	0	194	0	1425	98	126	0	0	0	0	89	0	11	41	0	0	0	33	82	0	20
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	55	31	48	87	91	0	15	61	11	0	12	46	0	19	21	0	30	0	0	32	102	166	21	25	10	28	76	40	64	23	18	11	196	59	17	22	0	0	835	31	0	15	0	0	16	10	0	41	0	15	22	0	14	0	0	10
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	36	14	600	21	39	0	0	0	0	0	0	18	0	0	27	0	0	0	0	12	46	11	0	46	14	66	0	0	27	64	0	0	27	20	12	31	0	0	11	57	0	0	0	19	10	19	0	11	0	19	19	0	24	0	0	0
